param	FC01	FC02	FC03	FC04	FC05	FC06	FC07	FC08	FC09	FC10	FC11	FC12	FC13	FC14	FC15	FC16
p0	-1.51075209090909e-05	-1.50922590909091e-05	-1.58385809090909e-05	-1.35001818181818e-05	-2.31881054545455e-05	-1.27576527272727e-05	-2.33065018181818e-05	-2.58687790909091e-05	-1.29239136363636e-05	-1.52143581818182e-05	-1.68482481818182e-05	-1.32754918181818e-05	-2.08538618181818e-05	-1.26310381818182e-05	-1.28554572727273e-05	-1.96686309090909e-05
p1	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05
p2	1.64153362756177	2.05741611984297	2.16384364131419	1.43227946314028	2.47384428834013	1.44929336398863	3.40464880275946	2.87300896560395	1.65626158979766	2.14806630597139	1.75309688470255	1.76248418908108	2.74159984934016	1.47959882908008	1.64774039034741	2.79240444481877
p3	0.923408884482133	1.00804652316277	1.17787774529206	0.954133550160945	1.04390911656706	1.02759971097965	1.04206317120385	1.03302808705333	1.01153229915927	1.01995907097082	0.872452477649372	0.998354315739114	0.975177912085086	0.915028343902308	0.96501203820568	1.08710009044223
sse	0.068607921031269	0.062638956813842	0.0645404421606129	0.0778735441334733	0.0648633428480821	0.0571591368637213	0.0614713147333265	0.0599778139412763	0.0626316155900641	0.0571206321726593	0.0634995530922775	0.0568154467495349	0.085740642112718	0.0584149472726864	0.0561149002088792	0.0484552587557418
r2	0.980104059036928	0.979198610583479	0.974308928871373	0.978274077144144	0.977715054384278	0.979270491034038	0.978713023252164	0.978771617848727	0.979321698473646	0.979735903778624	0.982187110265366	0.980031076011027	0.976039926882883	0.980835187154692	0.980233209497308	0.978683975138179
