param	FC01	FC02	FC03	FC04	FC05	FC06	FC07	FC08	FC09	FC10	FC11	FC12	FC13	FC14	FC15	FC16
p0	-1.80770975e-05	-1.8446895e-05	-1.82246175e-05	-1.5791755e-05	-2.64547775e-05	-1.46905575e-05	-2.78410825e-05	-2.9242785e-05	-1.51741e-05	-1.81694825e-05	-1.99029875e-05	-1.5702345e-05	-2.45230875e-05	-1.5012175e-05	-1.539017e-05	-2.28631e-05
p1	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05
p2	0.791500690758867	1.49933756900371	1.00394427277005	0.766897517323796	1.46710573178550	0.919618470260007	1.84222732317587	1.73077837289012	0.875252335987602	1.16395561779983	0.79801741138923	0.860743170974629	1.16621805400943	0.92823569452671	1.02851458712281	1.68966937605381
p3	0.521699365053216	0.738271468447032	0.642762007677499	0.569264278175679	0.672874889728512	0.688411042534597	0.619993532116566	0.67879374551938	0.593447951744606	0.611760479707843	0.454784450942966	0.550891782204125	0.502672852126115	0.60546005881656	0.633588712497893	0.706571381424969
sse	0.0972887716545198	0.0565552981909364	0.0531911013669526	0.0480302853082206	0.0468603495259125	0.0488897187175887	0.0418552128390791	0.0669613878193446	0.048010504136518	0.0434353407141097	0.0425190872005347	0.0433828553181225	0.045581944606156	0.0456900491322474	0.0496389550040988	0.0454103369210093
r2	0.98567686587871	0.985518456033673	0.987887531398221	0.989762349107103	0.987768304401172	0.987599581200519	0.989432570181887	0.986969534145842	0.989112062120595	0.989293577974061	0.992259707296273	0.990548575659168	0.991150347658884	0.989344437706238	0.988190987088616	0.9872314007197
