param	FC01	FC02	FC03	FC04	FC05	FC06	FC07	FC08	FC09	FC10	FC11	FC12	FC13	FC14	FC15	FC16
p0	-1.617384375e-05	-1.653234375e-05	-1.7045565e-05	-1.454875e-05	-2.472835375e-05	-1.3645615e-05	-2.52087925e-05	-2.744545625e-05	-1.389620125e-05	-1.65117275e-05	-1.819655375e-05	-1.428711e-05	-2.228270125e-05	-1.354205125e-05	-1.400423625e-05	-2.09766125e-05
p1	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05
p2	0.962040075072603	1.85943376301842	2.00009168599221	1.28045407809432	2.45016635365366	1.32494013431291	2.61519314071301	2.31565758565490	1.20066245617581	1.58991762028356	1.28706179316422	1.15091224469642	1.98707653689112	1.16911101273702	1.33117561189877	1.97029452841391
p3	0.637065869266966	0.91449296529854	1.07777571955830	0.854411609366456	0.994815590491216	0.93075040914558	0.845507437976721	0.865886375553969	0.79076217808605	0.808962594091275	0.68348800979023	0.719633879035558	0.786073288007285	0.767177072298699	0.800435790417205	0.827429710804186
sse	0.0901215960957874	0.0893407441755588	0.136073275142081	0.093480488482112	0.111755173258465	0.115131827303695	0.0800767477774506	0.0946275918213133	0.0879587043481616	0.0812219972989638	0.0869513695657094	0.0902877020891104	0.108535829304929	0.0942082088300557	0.105557477743003	0.110004201790988
r2	0.986718521862806	0.982364450408056	0.974386168348997	0.98292148971185	0.978618213674419	0.979684084901482	0.984194063510813	0.98247217014423	0.984634083609527	0.98484097817983	0.986773634863428	0.985840401323244	0.9830405460162	0.984546956260515	0.982535745501561	0.98173932718091
